"File Number","Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"11964934","FAMILY EXTENDED CARE OF SARASOTA (DBA) CABOT RESERVE ON THE GREEN","SARASOTA","Sarasota","65","3","0","$0.00","4","3","0","1","0","0","2","Direct Part-Time|3rd Party Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","6","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Other"
"11964938","SELECT GROUP HOMES INC","BRADENTON","Manatee","15","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","5","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"11964939","MAURI CANTELI CORP","MIAMI","Miami-Dade","6","0","1","$3,750.00","15","0","1","14","0","0","1","None","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"11964946","BROOKDALE MELBOURNE","MELBOURNE","Brevard","102","7","6","$20,500.00","10","0","5","5","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11964947","INN AT ASTON GARDENS AT THE COURTYARDS","SUN CITY CENTER","Hillsborough","105","2","1","$3,000.00","10","0","0","8","0","2","1","Direct 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"11964948","BROOKDALE DR PHILLIPS MC","ORLANDO","Orange","40","3","6","$17,000.00","14","0","2","11","0","1","1","Direct Part-Time","8","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"11964949","YUDITH'S ALF","TAMPA","Hillsborough","6","1","1","$500.00","2","0","0","1","0","1","1","3rd Party Part-Time","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","2","Occupational Therapy|Physical Therapy"
"11964951","ARDEN COURTS (LARGO)","LARGO","Pinellas","56","3","0","$0.00","9","0","0","9","0","0","1","Direct 24hr","6","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","1","Memory Care"
"11964952","ARDEN COURTS (SARASOTA)","SARASOTA","Sarasota","56","3","2","$9,500.00","16","0","2","13","0","1","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"11964958","SAVANNAH COURT OF BRANDON","BRANDON","Hillsborough","46","3","3","$9,800.00","19","0","0","15","0","4","NR","NR","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Audiology|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11964959","BROOKDALE PENSACOLA","PENSACOLA","Escambia","60","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","4","Audiology|Occupational Therapy|Physical Therapy|Speech Therapy"
"11964960","ALIMAR ASSISTED LIVING","TAMPA","Hillsborough","56","1","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"11964967","A PIEDRA ALF INC","MIAMI","Miami-Dade","6","0","0","$0.00","7","0","0","7","0","0","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
